Year,GDP per capita
1950,3200
1951,3200
1953,4100
1954,4100
1956,4100
1958,4500
1960,4600
1961,4300
1964,4700
1965,5000
1967,5200
1969,5500
1975,6600
1977,7500
1980,7700
1981,7400
1983,6600
1984,7000
1985,6900
1986,7400
1988,7300
1991,7500
1992,8100
1993,8500
1995,8800
1996,8400
1998,9300
1999,9200
2003,9600
2004,9900
2005,10500
2006,10600
2013,12800
2017,15000
