Year,Beer (NIAAA)
1934,2.3
1936,3
1937,3.1
1938,2.8
1940,2.8
1944,4.3
1945,4.4
1946,4.1
1947,4.2
1948,4.1
1950,3.9
1951,3.9
1952,3.9
1953,3.9
1958,3.6
1959,3.8
1961,3.7
1964,3.9
1965,3.9
1967,4.1
1979,5.2
1981,5.3
1985,5
1986,5.1
1987,5.1
1990,5.1
1991,4.9
1992,4.9
1993,4.8
1995,4.7
1996,4.7
1999,4.7
2001,4.7
2002,4.7
2003,4.6
2004,4.6
2005,4.5
2006,4.5
2007,4.6
2013,4.2
